donor,recipient,donor_date,recipient_date,gap_days,is_primary_donor,borrowed_trait_count,borrowed_traits
gpt2,gpt_neox,2019-02-14,2022-04-14,1155,1,46,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
gpt2,gpt_bigcode,2019-02-14,2022-12-22,1407,1,42,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail
gpt2,llama,2019-02-14,2023-02-27,1474,1,39,altup|attention_family|attention_output_gating|bitlinear_weights|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|windowed_rope_scope
gpt_neox,qwen,2022-04-14,2023-08-03,476,0,6,attention_pattern|attention_projection|rope_parameterization|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail
llama,qwen,2023-02-27,2023-08-03,157,1,38,altup|attention_family|attention_output_gating|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|modality|ngram_memory|optional_nope|periodic_no_rope_layers|positional_encoding|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|uses_logit_scale|uses_logit_softcap|windowed_rope_scope
gpt_neox,stablelm,2022-04-14,2023-09-05,509,1,25,attention_pattern|block_norm_variant|cross_layer_kv_sharing|ffn_core|gated_delta_net|has_aux_relu2_gate|kv_reuse_attention|modality|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|q_lora_present|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail|windowed_rope_scope
llama,stablelm,2023-02-27,2023-09-05,190,0,24,altup|attention_family|attention_output_gating|attention_projection|bitlinear_weights|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|lm_head_bias|ngram_memory|projection_bias_scheme|qk_norm|same_block_attention_ssm|uses_logit_scale|uses_logit_softcap
llama,plamo,2023-02-27,2023-09-28,213,0,18,attention_family|attention_projection|chunked_kv_cache|cross_layer_kv_sharing|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|kv_lora_present|lm_head_bias|modality|norm_scheme|periodic_no_rope_layers|projection_bias_scheme|qk_norm|rope_partition_detail|stack_topology|uses_logit_scale
qwen,plamo,2023-08-03,2023-09-28,56,1,31,altup|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_reuse_attention|laurel|ngram_memory|optional_nope|positional_encoding|q_lora_present|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|same_block_attention_ssm|secondary_token_mixer|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
gpt_neox,nemotron,2022-04-14,2023-11-14,579,0,20,attention_family|attention_pattern|conv_on_kv|ffn_projection_style|gated_delta_net|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|modality|norm_scheme|optional_nope|positional_encoding|q_lora_present|rglru_recurrence|rope_partition_detail|stack_topology|tie_embeddings_default|window_schedule_detail|windowed_rope_scope
llama,nemotron,2023-02-27,2023-11-14,260,1,28,altup|attention_output_gating|attention_projection|bitlinear_weights|chunked_kv_cache|cross_layer_kv_sharing|dual_attention_modules|ffn_core|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|kv_layout|laurel|lm_head_bias|ngram_memory|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|qk_norm|residual_scheme|residual_update_rule|rope_parameterization|same_block_attention_ssm|secondary_token_mixer|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap
llama,mamba,2023-02-27,2023-12-01,277,0,18,conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|modality|norm_scheme|projection_bias_scheme|residual_scheme|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale
qwen,mamba,2023-08-03,2023-12-01,120,1,18,altup|attention_output_gating|bitlinear_weights|block_norm_variant|chunked_kv_cache|has_aux_relu2_gate|laurel|lm_head_bias|ngram_memory|output_head_connection|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|uses_logit_softcap|window_schedule_detail
llama,mixtral,2023-02-27,2023-12-11,287,1,33,attention_family|bitlinear_weights|block_norm_variant|chunked_kv_cache|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_shared_expert|hybrid_block_schedule|kv_lora_present|laurel|lm_head_bias|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation_configurable|shared_expert_configurable|stack_topology|state_update_rule|uses_logit_scale|uses_logit_softcap|windowed_rope_scope
nemotron,mixtral,2023-11-14,2023-12-11,27,0,21,altup|attention_output_gating|attention_pattern|attention_projection|conv_on_kv|cross_layer_kv_sharing|gated_delta_net|global_plus_linear_attention_mix|kv_reuse_attention|modality|output_head_connection|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail|zero_expert_option
gpt_neox,phi,2022-04-14,2023-12-12,607,0,21,altup|attention_family|block_norm_variant|chunked_kv_cache|conv_on_kv|ffn_activation_core|ffn_projection_style|gated_delta_net|has_aux_silu_gate|ngram_memory|norm_scheme|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|rope_partition_detail|same_block_attention_ssm|stack_topology|state_update_rule|uses_logit_scale|uses_logit_softcap
qwen,phi,2023-08-03,2023-12-12,131,1,27,attention_output_gating|attention_pattern|bitlinear_weights|cross_layer_kv_sharing|dual_attention_modules|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|optional_nope|output_head_connection|periodic_no_rope_layers|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|secondary_token_mixer|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail|windowed_rope_scope
mixtral,deepseek,2023-12-11,2024-01-08,28,1,55,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_subtype|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
phi,deepseek,2023-12-12,2024-01-08,27,0,3,kv_layout|output_head_connection|tie_embeddings_configurable
gpt_neox,phixtral,2022-04-14,2024-01-08,634,1,51,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_shared_expert|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
mixtral,phixtral,2023-12-11,2024-01-08,28,0,6,has_moe|moe_distribution|moe_schedule_type|moe_subtype|projection_bias_scheme|router_activation
nemotron,internlm2,2023-11-14,2024-01-17,64,0,20,bitlinear_weights|conv_on_kv|cross_layer_kv_sharing|gated_delta_net|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|laurel|lm_head_bias|modality|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|rglru_recurrence|rope_parameterization|rope_partition_detail|state_update_rule|tie_embeddings_configurable
plamo,internlm2,2023-09-28,2024-01-17,111,1,28,altup|attention_family|attention_output_gating|attention_pattern|block_norm_variant|chunked_kv_cache|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|kv_lora_present|kv_reuse_attention|norm_scheme|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|same_block_attention_ssm|secondary_token_mixer|stack_topology|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
deepseek,minicpm,2024-01-08,2024-02-01,24,1,29,altup|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|has_aux_silu_gate|kv_lora_present|kv_reuse_attention|modality|norm_scheme|optional_nope|output_head_connection|positional_encoding|projection_bias_scheme|qk_norm|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
llama,minicpm,2023-02-27,2024-02-01,339,0,20,attention_family|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_layout|laurel|lm_head_bias|ngram_memory|periodic_no_rope_layers|q_lora_present|residual_scheme|rope_parameterization|stack_topology|tie_embeddings_configurable
plamo,olmo,2023-09-28,2024-02-01,126,1,44,altup|attention_output_gating|attention_pattern|bitlinear_weights|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
deepseek,gemma,2024-01-08,2024-02-21,44,0,21,attention_projection|conv_on_kv|cross_layer_kv_sharing|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|kv_lora_present|ngram_memory|optional_nope|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|rope_partition_detail|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|windowed_rope_scope
gpt2,gemma,2019-02-14,2024-02-21,1833,1,26,altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|chunked_kv_cache|dual_attention_modules|gated_delta_net|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_reuse_attention|laurel|lm_head_bias|modality|output_head_connection|periodic_no_rope_layers|residual_update_rule|rglru_recurrence|rope_parameterization|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_default|uses_logit_softcap|window_schedule_detail
llama,bitnet,2023-02-27,2024-02-27,365,1,46,altup|attention_family|attention_output_gating|attention_projection|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|windowed_rope_scope
gpt_bigcode,starcoder2,2022-12-22,2024-02-28,433,1,25,altup|bitlinear_weights|block_norm_variant|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|has_aux_silu_gate|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|ngram_memory|norm_scheme|projection_bias_scheme|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|windowed_rope_scope
minicpm,starcoder2,2024-02-01,2024-02-28,27,0,24,attention_family|attention_output_gating|attention_pattern|attention_projection|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|kv_layout|laurel|modality|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|q_lora_present|residual_scheme|same_block_attention_ssm|secondary_token_mixer|uses_logit_scale|uses_logit_softcap|window_schedule_detail
llama,cohere,2023-02-27,2024-03-11,378,0,19,ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|has_moe|kv_reuse_attention|lm_head_bias|modality|ngram_memory|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|residual_update_rule|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_default|uses_logit_softcap|windowed_rope_scope
phi,cohere,2023-12-12,2024-03-11,90,1,29,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|norm_scheme|optional_nope|q_lora_present|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|stack_topology|state_update_rule|tie_embeddings_configurable|window_schedule_detail
deepseek,dbrx,2024-01-08,2024-03-27,79,0,27,attention_family|attention_pattern|chunked_kv_cache|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_moe|laurel|lm_head_bias|moe_subtype|ngram_memory|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|rope_partition_detail|router_activation|same_block_attention_ssm|secondary_token_mixer|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap|window_schedule_detail
phixtral,dbrx,2024-01-08,2024-03-27,79,1,33,altup|attention_output_gating|attention_projection|bitlinear_weights|block_norm_variant|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|modality|moe_distribution|moe_schedule_type|norm_scheme|optional_nope|periodic_no_rope_layers|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|router_activation_configurable|shared_expert_configurable|stack_topology|uses_logit_scale|windowed_rope_scope|zero_expert_option
deepseek,jamba,2024-01-08,2024-03-28,80,0,5,attention_projection|ffn_core|has_moe|moe_distribution|router_activation
mamba,jamba,2023-12-01,2024-03-28,118,1,43,altup|attention_output_gating|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_shared_expert|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|zero_expert_option
gemma,recurrent_gemma,2024-02-21,2024-04-06,45,0,19,altup|attention_projection|bitlinear_weights|block_norm_variant|dual_attention_modules|ffn_core|ffn_projection_style|has_aux_relu2_gate|has_aux_silu_gate|has_moe|kv_layout|kv_reuse_attention|ngram_memory|norm_scheme|q_lora_present|residual_update_rule|rope_parameterization|uses_logit_softcap|windowed_rope_scope
qwen,recurrent_gemma,2023-08-03,2024-04-06,247,1,24,attention_family|attention_output_gating|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|gated_delta_net|global_plus_linear_attention_mix|kv_lora_present|laurel|lm_head_bias|modality|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|qk_norm|residual_scheme|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|window_schedule_detail
internlm2,phi3,2024-01-17,2024-04-22,96,1,46,altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
phi3,openelm,2024-04-22,2024-04-24,2,0,23,altup|attention_family|attention_pattern|attention_projection|bitlinear_weights|chunked_kv_cache|cross_layer_kv_sharing|ffn_activation_core|ffn_core|ffn_projection_style|has_aux_silu_gate|kv_lora_present|lm_head_bias|ngram_memory|norm_scheme|output_head_connection|projection_bias_scheme|q_lora_present|rope_partition_detail|secondary_token_mixer|state_update_rule|uses_logit_softcap|windowed_rope_scope
plamo,openelm,2023-09-28,2024-04-24,209,1,25,attention_output_gating|block_norm_variant|conv_on_kv|dual_attention_modules|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_layout|kv_reuse_attention|laurel|modality|optional_nope|periodic_no_rope_layers|positional_encoding|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|same_block_attention_ssm|stack_topology|tie_embeddings_configurable|uses_logit_scale|window_schedule_detail
